time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20003] Optional[local:sl-20004] Optional[local:sl-20005] Optional[local:sl-20006] Optional[local:sl-20007] Optional[local:sl-20008] Optional[local:sl-20009] 
99.081 67500.0 67228.0 70700.0 66704.0 67500.0 68396.0 67500.0 68204.0 67884.0 67500.0 
100.081 67884.0 67692.0 71724.0 67500.0 67692.0 69484.0 68140.0 69228.0 68908.0 67692.0 
101.081 68908.0 68652.0 72748.0 68716.0 68716.0 70444.0 69100.0 70188.0 69996.0 68716.0 
102.082 69996.0 69740.0 73708.0 69740.0 69740.0 71468.0 70188.0 71212.0 70892.0 69740.0 
103.083 70956.0 70700.0 74732.0 70700.0 70636.0 72428.0 71212.0 72236.0 71980.0 70700.0 
104.084 71980.0 71724.0 75692.0 71724.0 71724.0 73452.0 72236.0 73132.0 72940.0 71724.0 
105.085 72940.0 72748.0 76716.0 72748.0 72748.0 74476.0 73196.0 74220.0 73964.0 72748.0 
106.086 73900.0 73708.0 77740.0 73708.0 73708.0 75500.0 74220.0 75244.0 74988.0 73708.0 
107.087 74988.0 74732.0 78700.0 74732.0 74732.0 76460.0 75244.0 76204.0 75948.0 74732.0 
108.087 75948.0 75692.0 79724.0 75692.0 75692.0 77420.0 76204.0 77228.0 76972.0 75692.0 
109.088 76972.0 76716.0 80748.0 76716.0 76716.0 78444.0 77228.0 78188.0 77996.0 76716.0 
110.088 77996.0 77740.0 81708.0 77740.0 77740.0 79468.0 78188.0 79212.0 78956.0 77676.0 
111.089 78956.0 78700.0 82732.0 78700.0 78700.0 80492.0 79212.0 80236.0 79980.0 78700.0 
112.09 79980.0 79724.0 83692.0 79724.0 79724.0 81452.0 80236.0 81196.0 80940.0 79724.0 
113.091 80940.0 80748.0 84716.0 80748.0 80684.0 82412.0 81196.0 82220.0 81964.0 80748.0 
114.092 81964.0 81644.0 85676.0 81708.0 81708.0 83500.0 82220.0 83244.0 82988.0 81708.0 
115.094 82988.0 82732.0 86700.0 82732.0 82732.0 84460.0 83244.0 84204.0 83948.0 82732.0 
116.095 83948.0 83692.0 87724.0 83692.0 83692.0 85484.0 84204.0 85228.0 84972.0 83692.0 
117.097 84972.0 84716.0 88748.0 84716.0 84716.0 86444.0 85228.0 86188.0 85996.0 84716.0 
118.098 85996.0 85740.0 89728.0 85740.0 85740.0 87404.0 86188.0 87212.0 86956.0 85740.0 
119.099 86956.0 86700.0 90000.0 86700.0 86700.0 88496.0 87212.0 88236.0 87980.0 86700.0 
120.099 87984.0 87724.0 90000.0 87724.0 87724.0 89468.0 88236.0 89204.0 88944.0 87724.0 
121.1 88944.0 88748.0 90000.0 88748.0 88692.0 90000.0 89204.0 90000.0 90000.0 88748.0 
122.1 90000.0 89732.0 90000.0 89732.0 89732.0 90000.0 90000.0 90000.0 90000.0 89724.0 
123.1 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 
124.102 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 
125.102 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 90000.0 
