time Optional[local:sl-20000] Optional[local:sl-20001] Optional[local:sl-20002] Optional[local:sl-20003] Optional[local:sl-20004] Optional[local:sl-20005] Optional[local:sl-20006] Optional[local:sl-20007] Optional[local:sl-20008] Optional[local:sl-20009] 
96.077 935.0 941.0 1254.0 999.0 941.0 1120.0 1312.0 1428.0 1184.0 999.0 
97.077 1000.0 750.0 1174.0 936.0 1116.0 1052.0 762.0 756.0 1000.0 1000.0 
98.077 942.0 942.0 1204.0 1134.0 1256.0 948.0 1104.0 1134.0 930.0 686.0 
99.079 1055.0 992.0 742.0 864.0 748.0 1119.0 1375.0 1043.0 998.0 1195.0 
100.079 878.0 1384.0 994.0 1692.0 872.0 750.0 436.0 1006.0 948.0 808.0 
101.08 941.0 737.0 813.0 621.0 1312.0 999.0 1074.0 819.0 1184.0 1376.0 
102.08 930.0 872.0 622.0 494.0 558.0 686.0 802.0 738.0 494.0 808.0 
103.08 366.0 308.0 488.0 180.0 308.0 802.0 494.0 558.0 430.0 674.0 
104.082 0.0 121.0 249.0 0.0 307.0 0.0 57.0 57.0 0.0 0.0 
105.083 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
106.084 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
